state,period,cancelled_count,source_document,source_url,table_ref,retrieved_date
Manipur,2020 to 22.03.2023,54,"Rajya Sabha Unstarred Question No. 3253, 'Funds Received by NGOs from Abroad', answered 29.03.2023 (MoS Home, Shri Nityanand Rai)",https://www.mha.gov.in/MHA1/Par2017/pdfs/par2023-pdfs/RS29032023/3253.pdf,Annexure-III: State-wise number of registrations cancelled during the last 3 years (2020-2023),2026-09-23
Meghalaya,2020 to 22.03.2023,207,"Rajya Sabha Unstarred Question No. 3253, 'Funds Received by NGOs from Abroad', answered 29.03.2023 (MoS Home, Shri Nityanand Rai)",https://www.mha.gov.in/MHA1/Par2017/pdfs/par2023-pdfs/RS29032023/3253.pdf,Annexure-III: State-wise number of registrations cancelled during the last 3 years (2020-2023),2026-09-23
Mizoram,2020 to 22.03.2023,43,"Rajya Sabha Unstarred Question No. 3253, 'Funds Received by NGOs from Abroad', answered 29.03.2023 (MoS Home, Shri Nityanand Rai)",https://www.mha.gov.in/MHA1/Par2017/pdfs/par2023-pdfs/RS29032023/3253.pdf,Annexure-III: State-wise number of registrations cancelled during the last 3 years (2020-2023),2026-09-23
Nagaland,2020 to 22.03.2023,7,"Rajya Sabha Unstarred Question No. 3253, 'Funds Received by NGOs from Abroad', answered 29.03.2023 (MoS Home, Shri Nityanand Rai)",https://www.mha.gov.in/MHA1/Par2017/pdfs/par2023-pdfs/RS29032023/3253.pdf,Annexure-III: State-wise number of registrations cancelled during the last 3 years (2020-2023),2026-09-23
Odisha,2020 to 22.03.2023,2,"Rajya Sabha Unstarred Question No. 3253, 'Funds Received by NGOs from Abroad', answered 29.03.2023 (MoS Home, Shri Nityanand Rai)",https://www.mha.gov.in/MHA1/Par2017/pdfs/par2023-pdfs/RS29032023/3253.pdf,Annexure-III: State-wise number of registrations cancelled during the last 3 years (2020-2023),2026-09-23
Puducherry,2020 to 22.03.2023,14,"Rajya Sabha Unstarred Question No. 3253, 'Funds Received by NGOs from Abroad', answered 29.03.2023 (MoS Home, Shri Nityanand Rai)",https://www.mha.gov.in/MHA1/Par2017/pdfs/par2023-pdfs/RS29032023/3253.pdf,Annexure-III: State-wise number of registrations cancelled during the last 3 years (2020-2023),2026-09-23
Punjab,2020 to 22.03.2023,111,"Rajya Sabha Unstarred Question No. 3253, 'Funds Received by NGOs from Abroad', answered 29.03.2023 (MoS Home, Shri Nityanand Rai)",https://www.mha.gov.in/MHA1/Par2017/pdfs/par2023-pdfs/RS29032023/3253.pdf,Annexure-III: State-wise number of registrations cancelled during the last 3 years (2020-2023),2026-09-23
Rajasthan,2020 to 22.03.2023,8,"Rajya Sabha Unstarred Question No. 3253, 'Funds Received by NGOs from Abroad', answered 29.03.2023 (MoS Home, Shri Nityanand Rai)",https://www.mha.gov.in/MHA1/Par2017/pdfs/par2023-pdfs/RS29032023/3253.pdf,Annexure-III: State-wise number of registrations cancelled during the last 3 years (2020-2023),2026-09-23
Sikkim,2020 to 22.03.2023,8,"Rajya Sabha Unstarred Question No. 3253, 'Funds Received by NGOs from Abroad', answered 29.03.2023 (MoS Home, Shri Nityanand Rai)",https://www.mha.gov.in/MHA1/Par2017/pdfs/par2023-pdfs/RS29032023/3253.pdf,Annexure-III: State-wise number of registrations cancelled during the last 3 years (2020-2023),2026-09-23
Tamil Nadu,2020 to 22.03.2023,41,"Rajya Sabha Unstarred Question No. 3253, 'Funds Received by NGOs from Abroad', answered 29.03.2023 (MoS Home, Shri Nityanand Rai)",https://www.mha.gov.in/MHA1/Par2017/pdfs/par2023-pdfs/RS29032023/3253.pdf,Annexure-III: State-wise number of registrations cancelled during the last 3 years (2020-2023),2026-09-23
Telangana,2020 to 22.03.2023,3,"Rajya Sabha Unstarred Question No. 3253, 'Funds Received by NGOs from Abroad', answered 29.03.2023 (MoS Home, Shri Nityanand Rai)",https://www.mha.gov.in/MHA1/Par2017/pdfs/par2023-pdfs/RS29032023/3253.pdf,Annexure-III: State-wise number of registrations cancelled during the last 3 years (2020-2023),2026-09-23
Tripura,2020 to 22.03.2023,219,"Rajya Sabha Unstarred Question No. 3253, 'Funds Received by NGOs from Abroad', answered 29.03.2023 (MoS Home, Shri Nityanand Rai)",https://www.mha.gov.in/MHA1/Par2017/pdfs/par2023-pdfs/RS29032023/3253.pdf,Annexure-III: State-wise number of registrations cancelled during the last 3 years (2020-2023),2026-09-23
Uttar Pradesh,2020 to 22.03.2023,90,"Rajya Sabha Unstarred Question No. 3253, 'Funds Received by NGOs from Abroad', answered 29.03.2023 (MoS Home, Shri Nityanand Rai)",https://www.mha.gov.in/MHA1/Par2017/pdfs/par2023-pdfs/RS29032023/3253.pdf,Annexure-III: State-wise number of registrations cancelled during the last 3 years (2020-2023),2026-09-23
Uttarakhand,2020 to 22.03.2023,3,"Rajya Sabha Unstarred Question No. 3253, 'Funds Received by NGOs from Abroad', answered 29.03.2023 (MoS Home, Shri Nityanand Rai)",https://www.mha.gov.in/MHA1/Par2017/pdfs/par2023-pdfs/RS29032023/3253.pdf,Annexure-III: State-wise number of registrations cancelled during the last 3 years (2020-2023),2026-09-23
West Bengal,2020 to 22.03.2023,116,"Rajya Sabha Unstarred Question No. 3253, 'Funds Received by NGOs from Abroad', answered 29.03.2023 (MoS Home, Shri Nityanand Rai)",https://www.mha.gov.in/MHA1/Par2017/pdfs/par2023-pdfs/RS29032023/3253.pdf,Annexure-III: State-wise number of registrations cancelled during the last 3 years (2020-2023),2026-09-23
Jammu & Kashmir,2020 to 22.03.2023,31,"Rajya Sabha Unstarred Question No. 3253, 'Funds Received by NGOs from Abroad', answered 29.03.2023 (MoS Home, Shri Nityanand Rai)",https://www.mha.gov.in/MHA1/Par2017/pdfs/par2023-pdfs/RS29032023/3253.pdf,Annexure-III: State-wise number of registrations cancelled during the last 3 years (2020-2023),2026-09-23
Ladakh,2020 to 22.03.2023,193,"Rajya Sabha Unstarred Question No. 3253, 'Funds Received by NGOs from Abroad', answered 29.03.2023 (MoS Home, Shri Nityanand Rai)",https://www.mha.gov.in/MHA1/Par2017/pdfs/par2023-pdfs/RS29032023/3253.pdf,Annexure-III: State-wise number of registrations cancelled during the last 3 years (2020-2023),2026-09-23
